"Complexity","Time in s","Count"
1,"8.2E-5",2
7,"2.59E-4",2
13,"3.95E-4",2
19,"4.36E-4",2
25,"3.91E-4",2
31,"6.09E-4",2
37,"7.93E-4",2
43,"9.26E-4",2
49,0.001449,2
55,0.001565,2
61,0.001856,2
67,0.002462,2
73,0.001403,2
79,"6.65E-4",2
85,0.001387,2
91,0.00168,2
97,0.002205,2
103,0.002056,2
109,0.001187,2
115,0.001327,2
121,0.001443,2
127,0.003838,2
133,0.004531,2
139,0.002499,2
145,0.001595,2
151,"5.31E-4",2
157,"5.72E-4",2
163,"6.12E-4",2
169,"6.63E-4",2
175,"6.89E-4",2
181,"7.5E-4",2
187,"7.89E-4",2
193,"8.11E-4",2
199,"8.53E-4",2
205,0.001035,2
211,0.001293,2
217,0.00122,2
223,0.001361,2
229,0.001202,2
235,0.001198,2
241,0.001522,2
247,0.001596,2
253,0.001388,2
259,0.001463,2
265,0.001549,2
271,0.001646,2
277,0.001829,2
283,0.001964,2
289,0.00233,2
295,0.002152,2
301,0.00207,2
307,0.002038,2
313,0.002132,2
319,0.002307,2
325,0.00285,2
331,0.002691,2
337,0.002393,2
343,0.002831,2
349,0.002499,2
355,0.003232,2
361,0.004103,2
367,0.002977,2
373,0.003129,2
379,0.002949,2
385,0.003485,2
391,0.004312,2
397,0.003415,2
403,0.003284,2
409,0.003409,2
415,0.003824,2
421,0.004201,2
427,0.00418,2
433,0.003846,2
439,0.004396,2
445,0.004504,2
451,0.004287,2
457,0.004198,2
463,0.005775,2
469,0.004692,2
475,0.00444,2
481,0.005581,2
487,0.005242,2
493,0.00493,2
499,0.005268,2
505,0.005834,2
511,0.005512,2
517,0.006823,2
523,0.005985,2
529,0.005512,2
535,0.006756,2
541,0.006061,2
547,0.006157,2
553,0.006771,2
559,0.006058,2
565,0.008673,2
571,0.006405,2
577,0.007067,2
583,0.007178,2
589,0.0068,2
595,0.007928,2
601,0.007529,2
607,0.010126,2
613,0.008282,2
619,0.008862,2
625,0.008788,2
631,0.008841,2
637,0.008939,2
643,0.008785,2
649,0.009024,2
655,0.009282,2
661,0.010005,2
667,0.009099,2
673,0.010702,2
679,0.010068,2
685,0.011345,2
691,0.010763,2
697,0.010845,2
703,0.010602,2
709,0.011526,2
715,0.010744,2
721,0.010929,2
727,0.014181,2
733,0.013075,2
739,0.013424,2
745,0.014165,2
751,0.012715,2
757,0.013225,2
763,0.013191,2
769,0.015075,2
775,0.013542,2
781,0.013392,2
787,0.013397,2
793,0.013612,2
799,0.014394,2
805,0.013868,2
811,0.014769,2
817,0.0143,2
823,0.014563,2
829,0.016104,2
835,0.014879,2
841,0.014696,2
847,0.017151,2
853,0.018115,2
859,0.016438,2
865,0.018392,2
871,0.016468,2
877,0.019996,2
883,0.018596,2
889,0.017902,2
895,0.019824,2
901,0.018101,2
907,0.019084,2
913,0.020095,2
919,0.020249,2
925,0.022336,2
931,0.02007,2
937,0.019954,2
943,0.020837,2
949,0.020422,2
955,0.020519,2
961,0.020663,2
967,0.020397,2
973,0.020007,2
979,0.022949,2
985,0.021685,2
991,0.023164,2
997,0.022353,2
1003,0.027556,2
1009,0.024579,2
1015,0.023615,2
1021,0.023592,2
1027,0.023948,2
1033,0.025014,2
1039,0.02374,2
1045,0.025678,2
1051,0.024676,2
1057,0.029448,2
1063,0.027994,2
1069,0.028379,2
1075,0.025833,2
1081,0.029517,2
1087,0.027975,2
1093,0.026058,2
1099,0.027142,2
1105,0.026538,2
1111,0.027816,2
1117,0.031834,2
1123,0.029109,2
1129,0.02986,2
1135,0.031615,2
1141,0.031535,2
1147,0.031254,2
1153,0.032135,2
1159,0.03179,2
1165,0.037884,2
1171,0.031423,2
1177,0.033088,2
1183,0.033119,2
1189,0.035249,2
1195,0.038592,2
1201,0.036153,2
1207,0.035791,2
1213,0.037104,2
1219,0.037864,2
1225,0.037353,2
1231,0.037941,2
1237,0.038178,2
1243,0.043989,2
1249,0.036496,2
1255,0.036215,2
1261,0.046699,2
1267,0.043717,2
1273,0.04211,2
1279,0.042126,2
1285,0.042608,2
1291,0.044222,2
1297,0.04206,2
1303,0.043932,2
1309,0.043955,2
1315,0.042435,2
1321,0.045764,2
1327,0.041102,2
1333,0.045559,2
1339,0.042906,2
1345,0.042371,2
1351,0.045438,2
1357,0.045123,2
1363,0.047244,2
1369,0.054162,2
1375,0.046515,2
1381,0.042804,2
1387,0.047881,2
1393,0.046996,2
1399,0.047862,2
1405,0.053282,2
1411,0.047777,2
1417,0.047593,2
1423,0.052153,2
1429,0.048638,2
1435,0.04903,2
1441,0.051036,2
1447,0.057595,2
1453,0.056299,2
1459,0.050774,2
1465,0.051447,2
1471,0.056572,2
1477,0.054776,2
1483,0.055159,2
1489,0.054437,2
1495,0.060535,2
1501,0.054052,2
1507,0.055893,2
1513,0.058775,2
1519,0.05452,2
1525,0.0555,2
1531,0.05601,2
1537,0.059352,2
1543,0.057023,2
1549,0.058669,2
1555,0.058699,2
1561,0.05888,2
1567,0.061834,2
1573,0.060866,2
1579,0.061338,2
1585,0.061031,2
1591,0.063074,2
1597,0.059784,2
1603,0.06368,2
1609,0.0622,2
1615,0.064431,2
1621,0.067061,2
1627,0.072989,2
1633,0.073685,2
1639,0.065981,2
1645,0.068146,2
1651,0.068659,2
1657,0.066899,2
1663,0.069584,2
1669,0.071225,2
1675,0.076307,2
1681,0.071916,2
1687,0.078366,2
1693,0.079157,2
1699,0.069425,2
1705,0.073139,2
1711,0.075761,2
1717,0.085421,2
1723,0.078497,2
1729,0.073453,2
1735,0.083631,2
1741,0.090986,2
1747,0.08421,2
1753,0.077283,2
1759,0.086936,2
1765,0.081205,2
1771,0.087186,2
1777,0.079333,2
1783,0.085703,2
1789,0.081823,2
1795,0.099277,2
1801,0.081957,2
1807,0.085998,2
1813,0.095515,2
1819,0.082944,2
1825,0.085363,2
1831,0.084288,2
1837,0.084163,2
1843,0.084001,2
1849,0.093594,2
1855,0.088506,2
1861,0.090744,2
1867,0.089875,2
1873,0.085669,2
1879,0.097205,2
1885,0.092325,2
1891,0.098645,2
1897,0.09363,2
1903,0.094665,2
1909,0.092151,2
1915,0.099017,2
1921,0.097153,2
1927,0.09836,2
1933,0.105156,2
1939,0.09457,2
1945,0.115884,2
1951,0.10074,2
1957,0.102204,2
1963,0.105267,2
1969,0.101204,2
1975,0.099359,2
1981,0.114583,2
1987,0.111211,2
1993,0.10226,2
1999,0.109629,2
2005,0.110055,2
2011,0.114972,2
2017,0.11405,2
2023,0.113785,2
2029,0.128405,2
2035,0.125289,2
2041,0.165284,2
2047,0.131439,2
2053,0.116171,2
2059,0.113027,2
2065,0.111522,2
2071,0.113598,2
2077,0.116447,2
2083,0.125317,2
2089,0.11813,2
2095,0.118969,2
2101,0.124796,2
2107,0.118601,2
2113,0.12549,2
2119,0.113944,2
2125,0.138176,2
2131,0.132209,2
2137,0.133827,2
2143,0.128007,2
2149,0.123595,2
2155,0.132548,2
2161,0.125673,2
2167,0.135688,2
2173,0.145184,2
2179,0.129289,2
2185,0.132511,2
2191,0.144043,2
2197,0.137865,2
2203,0.140748,2
2209,0.134122,2
2215,0.126578,2
2221,0.135,2
2227,0.145802,2
2233,0.137031,2
2239,0.135263,2
2245,0.137955,2
2251,0.142358,2
2257,0.138365,2
2263,0.133454,2
2269,0.137325,2
2275,0.136956,2
2281,0.137811,2
2287,0.142224,2
2293,0.137038,2
2299,0.138939,2
2305,0.14103,2
2311,0.14581,2
2317,0.144799,2
2323,0.147591,2
2329,0.144988,2
2335,0.143148,2
2341,0.144269,2
2347,0.150762,2
2353,0.154085,2
2359,0.148194,2
2365,0.15365,2
2371,0.157359,2
2377,0.150394,2
2383,0.14986,2
2389,0.154306,2
2395,0.153796,2
2401,0.158163,2
2407,0.159201,2
2413,0.159678,2
2419,0.151472,2
2425,0.157569,2
2431,0.165161,2
2437,0.16154,2
2443,0.160908,2
2449,0.159576,2
2455,0.163035,2
2461,0.163124,2
2467,0.163666,2
2473,0.160748,2
2479,0.16656,2
2485,0.171425,2
2491,0.16712,2
2497,0.16717,2
2503,0.168319,2
2509,0.166073,2
2515,0.176527,2
2521,0.174338,2
2527,0.181702,2
2533,0.179074,2
2539,0.18003,2
2545,0.217983,2
2551,0.182065,2
2557,0.228528,2
2563,0.177748,2
2569,0.18391,2
2575,0.18213,2
2581,0.184899,2
2587,0.189483,2
2593,0.185742,2
2599,0.186198,2
2605,0.192047,2
2611,0.191767,2
2617,0.191068,2
2623,0.194163,2
2629,0.198123,2
2635,0.215306,2
2641,0.20767,2
2647,0.210816,2
2653,0.19091,2
2659,0.190417,2
2665,0.201601,2
2671,0.202391,2
2677,0.199552,2
2683,0.204933,2
2689,0.199492,2
2695,0.205331,2
2701,0.198148,2
2707,0.201972,2
2713,0.205197,2
2719,0.204002,2
2725,0.210193,2
2731,0.203725,2
2737,0.211103,2
2743,0.208448,2
2749,0.214357,2
2755,0.211581,2
2761,0.213619,2
2767,0.213813,2
2773,0.214104,2
2779,0.219204,2
2785,0.214286,2
2791,0.216366,2
2797,0.213312,2
2803,0.219328,2
2809,0.22569,2
2815,0.215281,2
2821,0.226515,2
2827,0.228244,2
2833,0.222468,2
2839,0.225356,2
2845,0.22565,2
2851,0.2253,2
2857,0.229462,2
2863,0.228788,2
2869,0.246097,2
2875,0.22945,2
2881,0.23142,2
2887,0.231467,2
2893,0.233357,2
2899,0.235044,2
2905,0.237853,2
2911,0.242692,2
2917,0.273471,2
2923,0.241488,2
2929,0.24186,2
2935,0.246279,2
2941,0.300018,2
2947,0.244944,2
2953,0.240231,2
2959,0.254646,2
2965,0.246659,2
2971,0.24732,2
2977,0.246365,2
2983,0.261173,2
2989,0.25583,2
2995,0.251073,2
